,,,,,,,,,,
ID,Quality,Scenario,Stimulus,Environment,Response,Measure,Giải pháp,Khó khăn,Tham khảo,
ASR-PERF-01,Performance,500 người dùng truy cập đồng thời vào hệ thống,500 người dùng gửi request đồng thời,Hệ thống đang hoạt động bình thường,Hệ thống xử lý tất cả request với load balancing và caching,Response time < 2 giây cho mỗi request,,,,
ASR-PERF-02,Performance,Truy vấn danh sách từ database lớn,Người dùng yêu cầu danh sách khóa học/học viên/bài tập,Hệ thống có 10000+ tài liệu trong database,Hệ thống trả về kết quả với pagination và database indexing,Response time < 2 giây cho 10000 records,,,,
ASR-PERF-03,Performance,Tăng trưởng dữ liệu hàng năm,Dữ liệu tăng 20% mỗi năm,Hệ thống đang vận hành production,Kiến trúc hỗ trợ mở rộng linh hoạt,Hệ thống duy trì performance với tăng trưởng 20%/năm,,,,
ASR-AVAIL-01,Availability,Truy cập hệ thống bất kỳ lúc nào,Người dùng truy cập vào bất kỳ thời điểm nào,Hệ thống production 24/7,Hệ thống phản hồi và xử lý request,Uptime 99.9% (24/7 availability),,SQLite,,
ASR-AVAIL-02,Availability,Bảo trì hệ thống định kỳ,Admin thực hiện bảo trì hệ thống,Maintenance window 2AM-4AM EST cuối tuần cuối quý,Hệ thống chuyển sang read-only mode,Thời gian read-only tối đa 1 ngày,,,,
ASR-SEC-01,Security,Đăng ký tài khoản mới,Người dùng mới đăng ký với password,Trang đăng ký tài khoản,Hệ thống validate password và hash với bcrypt,Password ≥8 ký tự với chữ hoa/thường/số và bcrypt salt rounds ≥10,,,,
ASR-SEC-02,Security,Đăng nhập vào hệ thống,Người dùng nhập email và password,Trang đăng nhập,Hệ thống verify và cấp JWT token,JWT token expiry 1 giờ và login response < 2 giây,Access hay Refresh?,,,
ASR-SEC-03,Security,Brute force attack vào tài khoản,Kẻ tấn công thử đăng nhập sai nhiều lần,Trang đăng nhập,Hệ thống block IP sau nhiều lần thất bại,Block IP sau 5 lần đăng nhập sai trong 15 phút,,,,đề xuất: gửi mail khi bị lock
ASR-SEC-04,Security,Admin truy cập chức năng quản trị,Admin đăng nhập vào admin dashboard,Admin portal,Hệ thống yêu cầu xác thực đa yếu tố (MFA),MFA bắt buộc cho tất cả admin accounts,,,,
ASR-SEC-05,Security,Phân quyền truy cập tài nguyên,Người dùng truy cập tài nguyên không thuộc quyền,Bất kỳ trang nào trong hệ thống,Hệ thống từ chối truy cập dựa trên RBAC,100% request được kiểm tra quyền trước khi xử lý,,,,
ASR-SEC-06,Security,Truyền tải dữ liệu giữa client và server,Dữ liệu được gửi qua mạng,Mọi giao tiếp HTTP,Dữ liệu được mã hóa với HTTPS/TLS,100% traffic sử dụng HTTPS/TLS,Nếu Caddy thì sẽ được lo sẵn,,,
ASR-SEC-07,Security,Lưu trữ dữ liệu nhạy cảm,Dữ liệu nhạy cảm được lưu vào database,Database production,Dữ liệu được mã hóa at rest,100% dữ liệu nhạy cảm được mã hóa trong database,,,,
ASR-SEC-08,Security,Input từ người dùng,Người dùng nhập dữ liệu vào form,Bất kỳ form input nào,Hệ thống validate và sanitize input,100% input được validate trước khi xử lý,,,,
ASR-SEC-09,Security,SQL Injection attack,Kẻ tấn công chèn SQL code vào input,Các endpoint có database query,Hệ thống sử dụng parameterized queries,100% database queries sử dụng parameterized queries,Prisma lo sẵn,,,
ASR-SEC-10,Security,Thực hiện hành động quan trọng,Người dùng thực hiện authentication/admin actions/file access,Hệ thống production,Hệ thống ghi log audit,100% hành động quan trọng được log với timestamp và user ID,Wide Events / Canonical Log Lines,,,
ASR-SEC-11,Security,Truy vấn audit logs cũ,Auditor yêu cầu xem logs từ quá khứ,Hệ thống audit log,Hệ thống cung cấp logs trong thời gian retention,Audit logs được giữ tối thiểu 1 năm,Lưu DB? Lưu file riêng?,,,
ASR-SEC-12,Security,Upload file vào hệ thống,Người dùng upload file tài liệu,Chức năng upload material/submission,Hệ thống quét malware và kiểm tra file type,100% files được quét malware và chỉ whitelist types được phép,File Upload Vulnerabilities,,,
ASR-SEC-13,Security,Lưu trữ file upload,File được lưu sau khi upload,Storage server,Files được lưu ngoài web root,100% files lưu ngoài web root để ngăn direct access,Directory Traversal,,,
ASR-SEC-14,Security,Upload file lớn,Người dùng upload file kích thước lớn,Chức năng upload,Hệ thống từ chối file vượt giới hạn,File size limit: 50MB cho materials và 20MB cho submissions,File Upload Vulnerabilities,,,
ASR-SEC-15,Security,Rate limit API calls,Nhiều request từ cùng một nguồn,Login và API endpoints,Hệ thống áp dụng rate limiting,Rate limit được áp dụng cho login và API endpoints,Express Rate Limit,,,
ASR-NOTIF-01,Performance,Gửi thông báo hàng loạt,Teacher gửi notification đến toàn bộ course,Course với nhiều students enrolled,Hệ thống queue và deliver notifications,Deliver đến 500 recipients trong < 1 phút,,,,
ASR-FILE-01,Performance,Download/stream tài liệu học,500 students download tài liệu cùng lúc,Hệ thống có materials cho course,Hệ thống phục vụ concurrent downloads,Support 500 concurrent downloads với service 24/7,,,,
ASR-AGGR-01,Performance,Hiển thị thống kê platform,Admin xem statistics dashboard,Database có 10000+ records,Hệ thống aggregate và hiển thị charts,Response time < 5 giây cho aggregations với caching 5 phút,,,,
ASR-ENROLL-01,Performance,Xử lý enrollment đồng thời,500 students enroll courses cùng lúc,Đầu học kỳ/đợt đăng ký,Hệ thống xử lý concurrent enrollments,Handle 500 concurrent enrollment requests < 2 giây,,,,
